title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
250124,2000000,"[18, 10749]",[0],41091,177532,6.607,624,4.711599053138503
10803,9000000,"[28, 878]",[0],14464,20412,6.621,719,4.797593692519273
616584,6000000,"[10402, 27, 14]","[31, 0]",2364963,2364949,7.744,217,4.404567313380972
45649,500000,"[35, 18, 14, 27, 9648]","[9, 85]",11659,133398,5.94,787,4.616827565825979
11412,65000000,"[80, 28, 9648, 53]",[0],2231,16938,6.614,938,4.959227226556285
11050,8000000,"[18, 35]",[0],26513,3388,7.1,596,4.826907269262046
16520,4550000,"[18, 10749, 12, 10402]",[0],14528,80570,7.2,294,4.458992575338537
922,9000000,"[18, 14, 37]","[10, 3, 0]",15439,4429,7.276,1234,5.4385922061895435
13006,7000000,"[27, 878]",[6],2109,70415,5.991,215,4.179853147129396
87492,24000000,"[18, 53]",[0],38673,5345,6.662,1983,5.484249507734482
2001,21000000,"[18, 80, 53]",[0],13240,20561,6.7,1088,5.091704632598697
11165,25485000,"[18, 36, 10752]","[3, 0]",68411,68412,7.2,405,4.619383327798045
12150,19000000,"[18, 80]",[0],6913,23213,6.648,488,4.591511380587051
455714,1839169,"[35, 18, 80, 53]",[39],1772988,1197896,7.973,644,5.1412045240677475
9591,26000000,"[35, 18, 10749, 10402]",[0],16857,31,6.903,668,4.841753357121387
980,565000,[37],[0],13578,14643,7.83,277,4.5313029917721614
109421,30000000,"[53, 80, 18]",[0],9642,1884,6.6,2662,5.637031782659584
10155,19000000,[53],"[9, 0]",1733,1152,6.6,557,4.647716856637894
9980,10000000,"[27, 28, 878]",[0],3798,3027,5.735,559,4.413858159435971
303,1000000,"[53, 10749, 9648]",[0],2638,2636,7.793,1229,5.66873535089774
550440,45000000,"[10751, 9648, 35, 14]",[0],82639,17867,6.198,139,4.113097728984169
250225,1000000,"[18, 9648, 10749]","[6, 31]",1102367,583857,6.397,257,4.283007083523078
22825,30000000,"[53, 878]",[0],11006,1577,5.591,1501,4.757457164569399
4593,800000,[35],"[9, 21, 13]",3508,793,7.5,594,4.938633245115094
231,50000000,"[18, 53]",[0],1892,2945,6.428,1104,4.985941345032879
48838,25000000,"[18, 80]","[6, 0]",116,34510,5.947,599,4.499864248395799
16558,60000000,"[10749, 35, 80]","[10, 0]",2296,19242,5.866,627,4.495018810011465
10627,14000000,"[10752, 18]",[0],16327,23213,6.9,216,4.295873036173617
378,6000000,"[35, 80]",[0],18686,1223,7.026,1645,5.548229136849789
10304,7000000,"[12, 27, 28, 878]",[0],25849,7727,4.286,442,4.002764171032266
14283,18000000,"[18, 53, 9648, 10402, 10749]","[7, 21, 6]",141715,78012,7.411,320,4.5355878832550065
20421,18000000,"[35, 10751, 16, 14, 10402]","[44, 6, 0]",42362,40345,6.2,208,4.197967875032866
413362,22000000,"[18, 80, 53]",[0],72466,57113,6.299,1032,4.892057927897369
10243,5355000,[12],[0],4786,18392,7.195,239,4.371207727640464
1580,1500000,"[80, 18, 53]",[0],14504,2636,7.987,2103,6.298673140243669
11890,35000000,[35],[0],3141,4610,6.265,396,4.410962878558848
152747,9000000,"[28, 12, 18]",[0],1283978,556172,6.609,1357,5.2002166845106075
60309,25000000,"[80, 18, 36]",[0],32,4135,6.566,371,4.446025752506354
9333,67000000,"[28, 80, 18, 53, 9648]",[0],11068,1723,6.266,690,4.6610965289495
11564,4300000,"[28, 80, 18, 53]",[7],44797,67753,6.456,250,4.282979556522894
94901,2500000,[18],[0],17051,1090812,4.5,231,3.9967693291895876
864,14000000,"[35, 12, 18]",[0],12975,12962,7.002,1638,5.532364175466569
8592,47000000,"[12, 35, 80]",[0],3125,6449,6.147,761,4.671478134378701
13703,8000000,"[18, 80, 10749]",[0],9995,78523,6.432,237,4.263350626373662
247182,7013004,"[28, 18, 53]","[9, 13]",1271594,74943,6.5,213,4.241318438235297
19158,10500000,[27],"[3, 0]",86474,18855,5.2,176,4.054038922342748
227735,36000000,"[10751, 18]",[0],15852,1270,6.952,311,4.4420586486947835
472454,4172781,"[18, 10752]",[76],1876418,1876416,8.2,270,4.574896456507582
478159,7834998,"[10751, 35]",[6],1047649,1229085,6.784,202,4.260517748752184
