0,1,2,3,4,5,6,7
{639933: 'The Northman'},70000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2227: 'Nicole Kidman'},{138781: 'Robert Eggers'},7.202,2097
{560057: 'The Sea Beast'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2127280: 'Zaris-Angel Hator'},{70238: 'Chris Williams'},7.69,597
{526896: 'Morbius'},75000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{136532: 'Matt Smith'},{125738: 'Daniel Espinosa'},6.455,2293
{508947: 'Turning Red'},190000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{25540: 'Sandra Oh'},{2009739: 'Domee Shi'},7.5,2916
{998771: 'Si Saben Como me pongo Pa Que Me Invitan? 2'},0,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'CO', 'name': 'Colombia'}]",{1568249: 'Ricardo Quevedo'},{1568247: 'Fernando Ayllón'},2.0,1
{864370: 'Incantation'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]",{1344771: 'Kao Ying-Hsuan'},{1309565: 'Kevin Ko'},7.219,233
{975714: 'Collision'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",{37093: 'Langley Kirkwood'},{1142937: 'Fabien Martorell'},5.99,104
{777831: '9 Bullets'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2940842: 'Dean Scott Vazquez'},{1515545: 'Gigi Gaston'},5.558,52
{335787: 'Uncharted'},120000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{13240: 'Mark Wahlberg'},{91268: 'Ruben Fleischer'},7.161,3026
{982543: 'V for Vengeance'},0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",[],{1522345: 'Jocelyn Hudon'},{3571895: 'Kelly Halihan'},6.667,36
