,title,vote_weight,predict
91,99861,0,0.00848313
92,527774,0,0.29745567
93,668742,1,0.70851797
94,354912,0,0.04586231
95,589754,1,0.70665884
96,632357,0,0.7456541
97,12444,0,0.023524888
98,379686,0,0.0507881
99,293660,0,0.31837365
100,504827,1,0.6440467
101,284053,0,0.045101378
102,14836,0,0.30051064
103,276907,0,0.5574435
104,10195,0,0.056986406
105,438631,0,0.06725825
106,520763,0,0.28904724
107,400160,0,0.30236816
108,1865,0,0.007153415
109,198663,0,0.601465
110,451048,0,0.036398433
111,8587,0,0.4005362
112,783461,1,0.63247085
113,21208,0,0.5922489
114,259693,0,0.43653375
115,862,0,0.5121607
116,138843,0,0.63825727
117,637649,0,0.4345243
118,675,0,0.057231445
119,808,0,0.29464504
120,315635,0,0.05417881
121,24021,0,0.25164312
122,602223,0,0.7083376
123,474350,0,0.26351547
124,177572,0,0.059644133
125,429617,0,0.06733047
126,50620,0,0.0805872
127,1930,0,0.03233408
128,821494,1,0.8469344
129,631843,0,0.6269954
130,760926,1,0.69732165
131,505262,1,0.7556471
132,610253,0,0.5954697
133,876716,1,0.9635394
134,597208,0,0.29444373
135,38234,1,0.7181588
136,744,0,0.62311286
137,568620,1,0.2137622
138,522402,0,0.7308462
139,76338,0,0.047500007
140,698128,1,0.7847276
141,383498,0,0.0929558
142,482373,0,0.73758125
143,330457,0,0.07333411
144,118,0,0.057120543
145,863,0,0.14360288
146,597,0,0.036821533
147,458576,0,0.30012757
148,10138,0,0.036822256
149,122917,0,0.02353763
150,370172,0,0.024295865
151,38757,0,0.02156487
152,216015,0,0.5833021
153,522016,1,0.2625512
154,425,0,0.35509142
155,833417,1,0.8275049
156,337167,0,0.38114974
157,454626,0,0.18571943
158,621,0,0.6858387
159,50619,0,0.09300606
160,8966,0,0.46357056
161,283995,0,0.036770508
162,587807,0,0.36280218
163,271110,0,0.02341011
164,475557,0,0.33229628
165,76600,1,0.023541933
166,453354,1,0.8598276
167,464052,0,0.037668675
168,10144,0,0.444256
169,615457,0,0.7031535
170,2062,0,0.057020172
171,106646,0,0.11133235
172,809,0,0.056982547
173,508442,0,0.058295093
174,157336,0,0.05010786
175,39254,0,0.099773414
176,228150,0,0.25044018
177,214756,0,0.25540304
178,102382,0,0.036964264
179,11224,0,0.71803105
180,301528,0,0.04535824
181,109445,0,0.07288949
182,284052,0,0.0685367
183,22,0,0.062277213
184,13811,0,0.36404347
185,285,0,0.014908717
186,9820,0,0.62444705
187,3933,0,0.43786442
188,419430,0,0.7452863
189,91314,0,0.033637024
190,1724,0,0.056911234
191,885110,1,0.8903393
192,10674,0,0.14640024
193,32657,0,0.12838326
194,58,0,0.036734425
195,20352,0,0.25297233
196,131631,0,0.07480941
197,135397,0,0.06703404
198,109418,0,0.1877878
199,98566,0,0.0755453
200,57214,0,0.7551725
201,4247,0,0.5990408
202,120,0,0.13153271
203,296096,0,0.69681865
204,18239,0,0.3654771
205,72190,0,0.039470185
206,411,0,0.043932114
207,440249,1,0.8362811
208,366672,1,0.5443051
209,634528,1,0.5667264
210,381284,0,0.64864224
211,337401,0,0.036971234
212,656663,1,0.6699117
213,12,0,0.12799536
214,93456,0,0.21681699
215,22894,0,0.5551109
216,1726,0,0.06256746
217,617653,0,0.15181364
218,49529,0,0.023679296
219,72545,0,0.20116793
220,22803,0,0.34588322
221,420818,0,0.022161273
222,557,0,0.06295961
223,260514,0,0.06914695
224,793937,1,0.79742086
225,70981,0,0.069621205
226,9806,0,0.13656487
227,47971,0,0.16480811
228,592508,1,0.6558096
229,525660,1,0.51642734
230,18785,0,0.48199594
231,111,0,0.54782027
232,284054,0,0.03762559
233,717728,1,0.7352694
234,8922,0,0.6649425
235,68726,0,0.044117842
236,126889,0,0.122638434
237,12153,0,0.46175453
238,72105,0,0.36877456
239,615904,1,0.5699891
240,166426,0,0.028030897
241,351286,0,0.0478223
242,260346,0,0.38368776
243,637693,1,0.63671315
244,10020,0,0.5571647
245,14160,0,0.04574885
246,22832,1,0.43506792
247,324552,0,0.43896037
248,49051,0,0.02353763
249,10193,0,0.036945306
250,335797,0,0.21225165
251,439079,0,0.7156028
252,561,0,0.11105028
253,373226,1,0.7442871
254,458156,0,0.3309749
255,503314,0,0.7939025
256,11970,0,0.1645746
257,38365,0,0.1877878
258,18240,0,0.43843153
259,10198,0,0.10222715
260,121,0,0.18854946
261,49521,0,0.029415287
262,335983,0,0.086007304
263,683363,1,0.86688113
264,254128,0,0.099516824
265,11351,0,0.62094086
266,23168,0,0.45824328
267,150540,0,0.049089406
268,14161,0,0.03678361
269,384018,0,0.036469284
270,447404,0,0.0566379
271,4258,0,0.5983236
272,49013,0,0.03670216
273,269149,0,0.05548102
274,7451,0,0.23762488
275,68721,0,0.03692419
276,522478,1,0.40748262
277,27205,0,0.05283875
278,529106,1,0.8279502
279,141052,0,0.015349896
