title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
조니 5 파괴 작전,10000000,코미디,United States of America,Steve Guttenberg,John Badham,6.573,1183,5.092656825460653
덤 앤 더머: 해리가 로이드를 만났을 때,19000000,코미디,United States of America,Eric Christian Olsen,Troy Miller,4.127,656,3.982423049546792
비르 자라,7000000,드라마,India,Preity Zinta,Yash Chopra,7.5,207,4.355182244860064
불가사리 4,5000000,액션,United States of America,Sara Botsford,S. S. Wilson,5.562,353,4.233243068966702
레지던트 이블 3: 인류의 멸망,45000000,공포,Canada,Oded Fehr,Russell Mulcahy,6.278,3441,5.564488903021571
컨스피러시,75000000,액션,United States of America,Julia Roberts,Richard Donner,6.583,1168,5.088699915557951
로마 위드 러브,17000000,로맨스,Italy,Roberto Benigni,Woody Allen,5.767,1781,4.924538686326837
락앤롤 보트,50000000,드라마,United Kingdom,Philip Seymour Hoffman,Richard Curtis,7.251,1808,5.74449828658811
007 언리미티드,135000000,모험,United Kingdom,Sophie Marceau,Michael Apted,6.26,2366,5.354632819091679
위험한 관계,14000000,드라마,United Kingdom,John Malkovich,Stephen Frears,7.278,911,5.192368652764799
적벽대전 1부: 거대한 전쟁의 시작,80341000,액션,China,Takeshi Kaneshiro,John Woo,7.154,653,4.903752399914106
빈,18000000,코미디,United Kingdom,Peter MacNicol,Mel Smith,6.444,2016,5.370045131847462
썸머 85,6900000,로맨스,France,Benjamin Voisin,François Ozon,7.367,548,4.845146789688597
블랙 위도우,10500000,미스터리,United States of America,Theresa Russell,Bob Rafelson,6.2,152,4.129769693749387
더 헌트,3800000,드라마,Denmark,Thomas Bo Larsen,Thomas Vinterberg,8.095,3162,6.756228158568578
쿨 월드,30000000,애니메이션,United States of America,Gabriel Byrne,Ralph Bakshi,5.5,563,4.352045960855832
다크 엔젤,7000000,액션,United States of America,Brian Benben,Craig R. Baxley,6.0,211,4.176714114814871
테이크 미 홈 투나잇,19000000,코미디,United States of America,Anna Faris,Michael Dowse,6.0,562,4.48829720695597
대통령의 딸,30000000,가족,United States of America,Marc Blucas,Forest Whitaker,6.2,720,4.661380037451256
데이브레이커스,20000000,액션,United States of America,Sam Neill,Peter Spierig,6.277,1620,5.146446391936302
더 벨코 익스페리먼트,5000000,스릴러,United States of America,Tony Goldwyn,Greg McLean,6.148,1169,4.898158049149808
미들 맨,22000000,드라마,United States of America,Giovanni Ribisi,George Gallo,6.5,245,4.282930561071528
칼리지,7000000,코미디,United States of America,Drake Bell,Deb Hagan,4.643,126,3.975247397030379
브라더,12000000,범죄,United States of America,Omar Epps,Takeshi Kitano,7.121,323,4.488730296726974
L'uomo del labirinto,4000000,스릴러,Italy,Dustin Hoffman,Donato Carrisi,6.4,375,4.41722457578831
에너미 마인,40000000,드라마,United States of America,Louis Gossett Jr.,Wolfgang Petersen,6.967,751,4.939458759635394
쥬랜더,28000000,코미디,Germany,Owen Wilson,Ben Stiller,6.155,3583,5.497613167557109
시티 라이트,1500000,코미디,United States of America,Virginia Cherrill,Charlie Chaplin,8.349,1675,6.261964565893577
하이디,8800000,모험,Germany,Bruno Ganz,Alain Gsponer,7.089,325,4.485903864790695
주온,3500000,공포,Japan,Megumi Okina,Takashi Shimizu,6.734,593,4.719538639521682
줌,75600000,가족,United States of America,Courteney Cox,Peter Hewitt,5.4,504,4.292861206736343
더 버터플라이,20000000,범죄,Canada,Maria Bello,Mike Barker,6.409,406,4.451535458887856
엘리펀트 맨,5000000,드라마,United Kingdom,John Hurt,David Lynch,8.081,2737,6.612623410725441
팬텀: 라스트 커맨더,10000000,스릴러,United States of America,David Duchovny,Todd Robinson,5.9,252,4.205129477500507
호텔 아르테미스,15000000,스릴러,United Kingdom,Sterling K. Brown,Drew Pearce,6.018,1279,4.887769021206672
로보캅 3,22000000,액션,United States of America,Nancy Allen,Fred Dekker,4.741,963,4.241356798145537
Alice in Wonderland,21000000,판타지,Germany,Robbie Coltrane,Nick Willing,6.3,297,4.314171169355727
살인마 잭의 집,9800000,드라마,Denmark,Bruno Ganz,Lars von Trier,7.18,2143,5.841480618897895
샤프트,46000000,액션,Germany,Vanessa Williams,John Singleton,5.958,1033,4.753105757477631
나이트메어 3: 꿈의 전사,4000000,공포,United States of America,Heather Langenkamp,Chuck Russell,6.658,1350,5.220023046822343
아메리칸 플레이보이,5000000,범죄,United States of America,Lauren Hutton,Paul Schrader,6.095,478,4.446888338909542
사랑도 리콜이 되나요,30000000,코미디,United Kingdom,Iben Hjejle,Stephen Frears,7.15,1595,5.588363188453532
언프렌드,9900000,공포,Germany,Connor Paolo,Simon Verhoeven,5.5,1106,4.591981740271848
더 셰프,20000000,드라마,United States of America,Sienna Miller,John Wells,6.487,2844,5.603333958314619
3 프롬 헬,3000000,공포,United States of America,Bill Moseley,Rob Zombie,5.8,322,4.252783137530345
스모킹 에이스 2,8000000,액션,United States of America,Clayne Crawford,P.J. Pesce,5.454,218,4.114568703209109
비열한 거리,500000,드라마,United States of America,Harvey Keitel,Martin Scorsese,7.125,1671,5.612678973402846
크림슨 타이드,53000000,전쟁,United States of America,Gene Hackman,Tony Scott,7.169,1372,5.475868905893035
