title,budget,genres,country,main_charactor,director,vote_average,vote_count
{346910: 'The Predator'},88000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1650301: 'Trevante Rhodes'},{1108: 'Shane Black'},5.623,3848
{406759: 'Moonfall'},146000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{17178: 'Patrick Wilson'},{6046: 'Roland Emmerich'},6.456,1662
{566525: 'Shang-Chi and the Legend of the Ten Rings'},150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1337: 'Tony Leung Chiu-wai'},{1144604: 'Destin Daniel Cretton'},7.674,6982
{299536: 'Avengers: Infinity War'},300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{74568: 'Chris Hemsworth'},{19272: 'Joe Russo'},8.268,25153
{34851: 'Predators'},40000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{17052: 'Topher Grace'},{41671: 'Nimród Antal'},6.226,3286
{539681: 'DC League of Super-Pets'},90000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{55638: 'Kevin Hart'},{89027: 'Jared Stern'},7.4,70
{459151: 'The Boss Baby: Family Business'},82000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{11006: 'James Marsden'},{18864: 'Tom McGrath'},7.538,2015
{440: 'Aliens vs Predator: Requiem'},40000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{25869: 'Reiko Aylesworth'},{6038: 'Greg Strause'},5.147,2258
{518068: 'Along with the Gods: The Last 49 Days'},18300000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",{150125: 'Ju Ji-hoon'},{84969: 'Kim Yong-hwa'},8.226,369
{397567: 'Along with the Gods: The Two Worlds'},18300000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",{63442: 'Cha Tae-hyun'},{84969: 'Kim Yong-hwa'},8.106,634
{588228: 'The Tomorrow War'},200000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{63312: 'Yvonne Strahovski'},{144816: 'Chris McKay'},7.951,5685
{744275: 'After We Fell'},14000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1114487: 'Hero Fiennes Tiffin'},{1448492: 'Castille Landon'},7.152,1831
"{303857: ""Dragon Ball Z: Resurrection 'F'""}",5000000,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{122501: 'Ryou Horikawa'},{1083452: 'Tadayoshi Yamamuro'},6.816,1438
{524434: 'Eternals'},200000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{512991: 'Richard Madden'},{1395183: 'Chloé Zhao'},7.08,6061
{460458: 'Resident Evil: Welcome to Raccoon City'},40000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1223726: 'Robbie Amell'},{100734: 'Johannes Roberts'},6.109,1761
{460465: 'Mortal Kombat'},20000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{136347: 'Jessica McNamee'},{1828590: 'Simon McQuoid'},7.174,4797
{19995: 'Avatar'},237000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",{8691: 'Zoe Saldaña'},{2710: 'James Cameron'},7.516,25854
{648579: 'The Unbearable Weight of Massive Talent'},30000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1253360: 'Pedro Pascal'},{1211000: 'Tom Gormican'},6.999,564
{823625: 'Blacklight'},43000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{2026050: 'Emmy Raver-Lampman'},{206574: 'Mark Williams'},6.33,560
{763285: 'Ambulance'},40000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1639847: 'Yahya Abdul-Mateen II'},{865: 'Michael Bay'},6.918,1019
{508943: 'Luca'},200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1774679: 'Jack Dylan Grazer'},{930567: 'Enrico Casarosa'},7.928,6561
{809717: 'Moonbound'},2000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",{1974020: 'Dirk Petrick'},{114589: 'Ali Samadi Ahadi'},6.205,56
{585245: 'Clifford the Big Red Dog'},64000000,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{212285: 'Jack Whitehall'},{68573: 'Walt Becker'},7.285,1353
{425909: 'Ghostbusters: Afterlife'},75000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1442069: 'Finn Wolfhard'},{52443: 'Jason Reitman'},7.618,3047
{20982: 'Naruto Shippuden the Movie'},29000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{82057: 'Chie Nakamura'},{89972: 'Hajime Kamegaki'},7.193,459
{624860: 'The Matrix Resurrections'},190000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{530: 'Carrie-Anne Moss'},{9340: 'Lana Wachowski'},6.655,3996
