액션,모험,판타지,SF,드라마,공포,스릴러,미스터리,로맨스,title,budget,charactor,director,vote_weight
0,1,1,0,0,0,0,0,0,12444,0.6578947368421053,0.0030135141990262977,0.00311031542706032,0
0,0,0,1,0,0,0,0,0,379686,0.42605263157894735,0.0005198928954826079,0.019749392428686636,0
1,1,0,0,0,0,0,0,0,293660,0.15263157894736842,0.01504892504740321,0.015150414174022464,0
0,1,0,0,0,0,0,0,0,504827,0.1,0.03012664163173979,0.4978152659644624,1
1,1,1,1,0,0,0,0,0,284053,0.47368421052631576,0.025118833641128574,0.01533742247176161,0
0,0,1,0,0,0,0,0,0,14836,0.15789473684210525,0.002945511330840809,0.015806862656115597,0
0,0,0,0,0,0,1,0,0,276907,0.06578947368421052,0.019319395487406445,0.0012950735927008633,0
1,1,1,0,0,0,0,0,0,10195,0.39473684210526316,0.00014368347955321018,0.003065894101204394,0
0,1,0,1,0,0,0,0,0,438631,0.4342105263157895,0.2558986318535854,0.03768326881729865,0
0,0,0,1,0,1,1,0,0,520763,0.16052631578947368,0.0005585558165074221,0.0048526185411872065,0
0,1,1,0,0,0,0,0,0,400160,0.15789473684210525,0.009432107499372755,0.013683687803631417,0
1,1,1,0,0,0,0,0,0,1865,1.0,0.00026186588353686207,0.004835069375416964,0
1,0,0,1,0,0,1,1,0,198663,0.08947368421052632,0.03157471883693159,0.3233066357508863,0
1,1,1,0,0,0,0,0,0,451048,0.5263157894736842,0.0013932361824615666,0.01632099837204067,0
0,0,0,0,1,0,0,0,0,8587,0.11842105263157894,0.004154755882042444,0.005181939605094413,0
1,0,0,0,0,0,0,0,0,783461,0.18157894736842106,0.470050357769122,0.6971674823829683,1
0,0,0,0,0,1,1,1,0,21208,0.05263157894736842,3.646928011560488e-05,0.01632099837204067,0
0,0,0,0,0,1,1,0,0,259693,0.10526315789473684,0.0059384601463432695,0.0005832355561454025,0
0,1,0,0,0,0,0,0,0,862,0.07894736842105263,0.0035366975558727195,0.0021604668297459458,0
0,0,0,0,0,1,1,0,0,138843,0.034210526315789476,0.004710295442299704,0.0005832355561454025,0
1,0,0,0,0,0,1,0,0,637649,0.10526315789473684,0.00205571573704278,0.0002621406636929971,0
0,1,1,0,0,0,0,1,0,675,0.39473684210526316,0.0030132399939126467,0.00311031542706032,0
0,1,1,0,0,0,0,0,0,808,0.15789473684210525,0.00021278316819330363,0.0033063725133997478,0
1,1,0,1,1,0,0,0,0,315635,0.4605263157894737,0.0006120258136693991,0.35482055018279923,0
0,1,1,0,1,0,0,0,1,24021,0.17894736842105263,0.010397035294311203,0.00756012577267743,0
1,0,0,0,0,1,1,0,0,602223,0.04736842105263158,0.023928509242768868,0.327111514254447,0
0,0,1,0,0,1,0,0,0,474350,0.20789473684210527,0.0015163542784909396,0.30522276883608174,0
1,1,0,0,0,0,0,0,0,177572,0.4342105263157895,0.1413554781383118,0.06236507365028406,0
1,1,0,1,0,0,0,0,0,429617,0.42105263157894735,0.000611751608555748,0.35482055018279923,0
0,1,1,0,1,0,0,0,1,50620,0.3157894736842105,0.010397035294311203,0.004265818310744724,0
1,1,1,0,0,0,0,0,0,1930,0.5657894736842105,0.014997100280923138,0.024059357859572125,0
0,0,0,0,1,0,0,0,0,821494,0.005263157894736842,0.8397676934277147,0.002008282657832124,1
0,0,0,0,0,1,1,1,0,631843,0.04736842105263158,0.2961949927404196,0.0031846251758686907,0
1,0,0,0,0,0,1,0,0,760926,0.017105263157894738,0.020760343359643316,0.020760388900481697,1
