0,1,2,3,4,5,6
{718930: 'Bullet Train'},85900000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{27428: 'Aaron Taylor-Johnson'},{40684: 'David Leitch'},7.3
{982543: 'V for Vengeance'},0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",[],{1522345: 'Jocelyn Hudon'},{3571895: 'Kelly Halihan'},6.6
{661791: 'The Grandmother'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{1910478: 'Vera Valdez'},{54526: 'Paco Plaza'},5.891
{585083: 'Hotel Transylvania: Transformania'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{62861: 'Andy Samberg'},{2093022: 'Jennifer Kluska'},7.128
{869399: 'The Passenger'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{1637068: 'Ramiro Blas'},{2596472: 'Raúl Cerezo'},6.7
{629542: 'The Bad Guys'},80000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1231717: 'Marc Maron'},{1261455: 'Pierre Perifel'},7.778
"{768744: ""My Hero Academia: World Heroes' Mission""}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{1245094: 'Nobuhiko Okamoto'},{1307036: 'Kenji Nagasaki'},7.6
{960258: 'Shark Bait'},0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'MT', 'name': 'Malta'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1383391: 'Holly Earl'},{1088096: 'James Nunn'},6.373
{539681: 'DC League of Super-Pets'},90000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{55638: 'Kevin Hart'},{89027: 'Jared Stern'},7.336
{438695: 'Sing 2'},85000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{368: 'Reese Witherspoon'},{52842: 'Garth Jennings'},8.0
{801071: 'The Jack in the Box: Awakening'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",{1733286: 'Matt McClure'},{1976339: 'Lawrence Fowler'},5.7
{825808: 'See for Me'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",{1517550: 'Skyler Davenport'},{1052055: 'Randall Okita'},6.1
{299536: 'Avengers: Infinity War'},300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{74568: 'Chris Hemsworth'},{19272: 'Joe Russo'},8.268
{764835: 'The Desperate Hour'},0,"[{'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1558012: 'Colton Gobbo'},{13015: 'Phillip Noyce'},6.2
{761898: 'Sword Art Online the Movie -Progressive- Aria of a Starless Night'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{1248340: 'Haruka Tomatsu'},{1498113: 'Ayako Kono'},8.341
