title,poster_path,release_date,budget,genres,country,main_charactor,director,runtime,overview,vote_average,vote_count
{1636: 'Bedazzled'},https://image.tmdb.org/t/p/original/9aIg9oKMetjfDUNH1jDJKiw2Qos.jpg,2000-10-19,48000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{13918: 'Elizabeth Hurley'},{1524: 'Harold Ramis'},93,"Elliot Richardson, a suicidal techno geek, is given seven wishes to turn his life around when he meets a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil puts her own little twist on each of his fantasies.",6.009,1487
{333669: 'Bastille Day'},https://image.tmdb.org/t/p/original/lTby7l0zX7xG8Pt0eNrWBrNzdqX.jpg,2016-04-22,20000000,"[{'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{512991: 'Richard Madden'},{63306: 'James Watkins'},92,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.",6.261,1107
{9718: 'Talladega Nights: The Ballad of Ricky Bobby'},https://image.tmdb.org/t/p/original/3iCiTqsmJz1mO85AHzTiHNkRmb6.jpg,2006-08-04,72500000,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{4764: 'John C. Reilly'},{55710: 'Adam McKay'},106,"The fastest man on four wheels, Ricky Bobby is one of the greatest drivers in NASCAR history. A big, hairy American winning machine, Ricky has everything a dimwitted daredevil could want, a luxurious mansion, a smokin' hot wife and all the fast food he can eat. But Ricky's turbo-charged lifestyle hits an unexpected speed bump when he's bested by flamboyant Euro-idiot Jean Girard and reduced to a fear-ridden wreck.",6.352,1325
{10756: 'The Haunted Mansion'},https://image.tmdb.org/t/p/original/lGi5yio4pdDz5PkSeZCbnMQz5vK.jpg,2003-11-25,90000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{36219: 'Marsha Thomason'},{18898: 'Rob Minkoff'},88,"Workaholic Jim Evers and his wife/business partner Sara get a call one night from  a mansion owner, Edward Gracey, who wants to sell his house. Once the Evers family arrive at the mansion, a torrential thunderstorm of mysterious origin strands them with the brooding, eccentric Gracey, his mysterious butler, and a variety of residents both seen and unseen.",5.624,1652
{13597: 'Labyrinth'},https://image.tmdb.org/t/p/original/hbSdA1DmNA9IlfVoqJkIWYF2oYm.jpg,1986-06-27,25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{6161: 'Jennifer Connelly'},{55983: 'Jim Henson'},102,"When teen Sarah is forced to babysit Toby, her baby stepbrother, she summons Jareth the Goblin King to take him away. When he is actually kidnapped, Sarah is given just thirteen hours to solve a labyrinth and rescue him.",7.284,1912
{10222: 'Kickboxer'},https://image.tmdb.org/t/p/original/k5QorO5oOEJYIooSNQmm6sukWR4.jpg,1989-04-20,1500000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{64655: 'Dennis Alexio'},{64681: 'Mark DiSalle'},97,"If your enemy refuses to be humbled... Destroy him. Accompanied by his brother Kurt (Van Damme), American kickboxing champion Eric Sloane (Dennis Alexio), arrives in Thailand to defeat the Eastern warriors at their own sport. His opponent: ruthless fighter and Thai champion, Tong Po. Tong not only defeats Eric, he paralyzes him for life. Crazed with anger, Kurt vows revenge.",6.788,1098
{318781: 'Colonia'},https://image.tmdb.org/t/p/original/g0mAWtwMFOZMOi020fhbmRhdmWK.jpg,2015-06-24,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'LU', 'name': 'Luxembourg'}]",{3872: 'Daniel Brühl'},{46680: 'Florian Gallenberger'},106,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",7.302,1676
{302401: 'Snowden'},https://image.tmdb.org/t/p/original/yfK7zxNL63VWfluFuoUaJj5PdNw.jpg,2016-09-15,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{94185: 'Shailene Woodley'},{1152: 'Oliver Stone'},134,CIA employee Edward Snowden leaks thousands of classified documents to the press.,7.098,3790
{839: 'Duel'},https://image.tmdb.org/t/p/original/vGVxYIAstgGIjjhXXXfmeqtNLmz.jpg,1971-11-13,450000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10770, 'name': 'TV Movie'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{40186: 'Jacqueline Scott'},{488: 'Steven Spielberg'},90,"Traveling businessman David Mann angers the driver of a rusty tanker while crossing the California desert. A simple trip turns deadly, as Mann struggles to stay on the road while the tanker plays cat and mouse with his life.",7.407,1438
{453201: 'The 15:17 to Paris'},https://image.tmdb.org/t/p/original/qxJQ0VBCuJkJhJmuWzxI408ngwd.jpg,2018-02-02,30000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1956663: 'Spencer Stone'},{190: 'Clint Eastwood'},94,"In August 2015, an ISIS terrorist boarded train #9364 from Brussels to Paris. Armed with an AK-47 and enough ammo to kill more than 500 people, the terrorist might have succeeded except for three American friends who refused to give in to fear. One was a college student, one was a martial arts enthusiast and airman first class in the U.S. Air Force, and the other was a member of the Oregon National Guard, and all three pals proved fearless as they charged and ultimately overpowered the gunman after he emerged from a bathroom armed and ready to kill.",5.414,1430
{29427: 'The Crazies'},https://image.tmdb.org/t/p/original/ggtG9DZELyTtM2Y0DRJDOJa5iP8.jpg,2010-02-26,20000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{8329: 'Radha Mitchell'},{52609: 'Breck Eisner'},101,Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.,6.222,1669
{2164: 'Stargate'},https://image.tmdb.org/t/p/original/kLacy1TrSedHrZcsup1JNHl1upk.jpg,1994-10-27,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{13548: 'James Spader'},{6046: 'Roland Emmerich'},121,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",6.965,2723
{623511: 'The Burning Sea'},https://image.tmdb.org/t/p/original/1bB7uV5ljDWKG2m5Z4cgWwDMAeY.jpg,2021-10-29,8300000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'NO', 'name': 'Norway'}]",{2891405: 'Henrik Bjelland'},{7746: 'John Andreas Andersen'},104,"An oil platform dramatically goes down on the Norwegian coast, and researchers try to find out what happened when they realize this is just the start of something even more serious.",6.703,74
{6522: 'Life'},https://image.tmdb.org/t/p/original/mMTrgEhGrHzin07P5G6BPVw9XuW.jpg,1999-04-16,80000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{78029: 'Martin Lawrence'},{34849: 'Ted Demme'},108,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,6.659,616
{265177: 'Mommy'},https://image.tmdb.org/t/p/original/zPLyLO68iiiSF8ASGtmfXGf2EMN.jpg,2014-09-19,4900000,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",{575662: 'Antoine Olivier Pilon'},{143593: 'Xavier Dolan'},138,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",8.277,2332
{127493: 'Stolen'},https://image.tmdb.org/t/p/original/9UDl3jgTsITaaIJw8nlo9TdW7if.jpg,2012-09-06,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{506085: 'Sami Gayle'},{12786: 'Simon West'},96,"Master thief Will Montgomery is just released from the State penitentiary after serving a 10 year sentence, is contacted by Vincent, his ex comrade in crime, who is holding Will’s teenage daughter ransom in a hijacked taxi cab. Vincent will only surrender her when Will reveals the whereabouts of the 20 million dollars he contrived to conceal from their last robbery.",5.385,850
{18764: 'Twin Dragons'},https://image.tmdb.org/t/p/original/tm153lMrHy6HykEYwoP0EI3dQ8k.jpg,1992-01-15,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",{1338: 'Maggie Cheung'},{26767: 'Ringo Lam'},104,"Twins, separated at birth, end up as a Hong Kong gangster and a New York concert pianist. When the pianist travels to Hong Kong for a concert, the two inevitably get mistaken for each other.",6.582,276
{698: 'Moonraker'},https://image.tmdb.org/t/p/original/6LrJdXNmu5uHOVALZxVYd44Lva0.jpg,1979-06-26,34000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{10475: 'Lois Chiles'},{10076: 'Lewis Gilbert'},126,"After Drax Industries' Moonraker space shuttle is hijacked, secret agent James Bond is assigned to investigate, traveling to California to meet the company's owner, the mysterious Hugo Drax. With the help of scientist Dr. Holly Goodhead, Bond soon uncovers Drax's nefarious plans for humanity, all the while fending off an old nemesis, Jaws, and venturing to Venice, Rio, the Amazon...and outer space.",6.145,1548
{18501: 'Gamer'},https://image.tmdb.org/t/p/original/rfQtqLHeisaQ4HlYtNremtUl9oP.jpg,2009-09-03,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{38425: 'Amber Valletta'},{20193: 'Mark Neveldine'},95,"Mind-control technology has taken society by a storm, a multiplayer on-line game called ""Slayers"" allows players to control human prisoners in mass-scale. Simon controls Kable, the online champion of the game. Kable's ultimate challenge becomes regaining his identity and independence by defeating the game's mastermind.",5.703,1985
"{32856: ""Valentine's Day""}",https://image.tmdb.org/t/p/original/qOTcfD2DdnOTmhH0r1TOE09VvNh.jpg,2010-02-10,52000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{51329: 'Bradley Cooper'},{1201: 'Garry Marshall'},125,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter. A grade-school boy wants flowers for his first true love. Two high school seniors plan first-time sex at noon. A TV sports reporter gets the assignment to find romance in LA. A star quarterback contemplates his future. Two strangers meet on a plane. Grandparents, together for years, face a crisis. An 'I Hate Valentine's Day' dinner beckons the lonely and the lied to.",5.897,2718
{5123: 'August Rush'},https://image.tmdb.org/t/p/original/oA6ZeICPINiS6YtD5WZeBaGVmuT.jpg,2007-11-21,25000000,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{41292: 'Keri Russell'},{41285: 'Kirsten Sheridan'},114,An orphaned musical prodigy uses his gift as a clue to finding his birth parents.,7.395,2379
{372084: 'Mastram'},https://image.tmdb.org/t/p/original/yANwS5NwTd0bsqZfyaKVQrCbch0.jpg,2014-05-09,300000,"[{'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",{1008285: 'Rahul Bagga'},{1304395: 'Akhilesh Jaiswal'},99,Rajaram is a small town bank clerk who dreams of travelling to Delhi and becoming a reputed writer. His litterateur aspirations are supported by none except his wife Renu.,3.5,4
{465086: 'The Grudge'},https://image.tmdb.org/t/p/original/vN7JHlHOT9rHNDU27tfYqhABBj5.jpg,2020-01-01,10000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{127558: 'Andrea Riseborough'},{1545927: 'Nicolas Pesce'},93,"After a young mother murders her family in her own house, a detective attempts to investigate the mysterious case, only to discover that the house is cursed by a vengeful ghost. Now targeted by the demonic spirits, the detective must do anything to protect herself and her family from harm.",5.568,955
{19277: 'In Hell'},https://image.tmdb.org/t/p/original/vE2fYcP07fbIHoouATNErRQuNrw.jpg,2003-11-24,17000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{185731: 'Lawrence Taylor'},{26767: 'Ringo Lam'},96,A man must survive a prison where hardened criminals battle to the death for the warden's entertainment.,6.4,410
{354279: 'Charming'},https://image.tmdb.org/t/p/original/jBkQjdlA1EMD2zSX4WLHDbxs6vX.jpg,2018-03-26,20000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{85138: 'Demi Lovato'},{1496385: 'Ross Venokur'},90,"Three fairy tale princesses find themselves engaged to the same guy, Prince Charming.",6.5,214
{8409: 'A Man Apart'},https://image.tmdb.org/t/p/original/z0JUBNk4BTBmeMOudrRH9GnOmK0.jpg,2003-04-04,36000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{18291: 'Larenz Tate'},{37932: 'F. Gary Gray'},109,"When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.",6.084,722
{77883: 'The Possession'},https://image.tmdb.org/t/p/original/loZYdcmgvnonHtH0XH0RI7rm8iA.jpg,2012-08-30,14000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",{26467: 'Kyra Sedgwick'},{22676: 'Ole Bornedal'},92,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",5.994,1357
{11713: 'Fist of Fury'},https://image.tmdb.org/t/p/original/stmoRyrRKQLokx3eFMmFPQDDuEz.jpg,1972-03-22,100000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",{57723: 'Nora Miao'},{70334: 'Lo Wei'},108,"Chen Zhen returns to the international compound of China only to learn of his beloved teacher's death. This is compounded by the continual racist harassment by the Japanese population in the area. Unlike his friends, he confronts it head on with his mastery of martial arts while investigating his teacher's murder.",7.3,709
{9693: 'Children of Men'},https://image.tmdb.org/t/p/original/k9IAS4TehZFcKi4HVByxZNPfqex.jpg,2006-09-22,76000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1231: 'Julianne Moore'},{11218: 'Alfonso Cuarón'},109,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",7.603,5918
{9592: 'Open Water 2: Adrift'},https://image.tmdb.org/t/p/original/6bbQxUlPTBGYSWHMshG6K2MxtSl.jpg,2006-07-10,1200000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",{58115: 'Eric Dane'},{58116: 'Hans Horn'},94,A weekend cruise on a luxurious party yacht goes horribly wrong for a group of old high-school friends when they get stuck in the water many miles from shore and a happy reunion turns into a fight for survival.,5.472,578
{227306: 'Unbroken'},https://image.tmdb.org/t/p/original/djETrCXW11Fb5hEl7vvc3bfs3oc.jpg,2014-12-25,65000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{558466: 'Alex Russell'},{11701: 'Angelina Jolie'},137,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",7.447,3599
{11618: 'The Haunting'},https://image.tmdb.org/t/p/original/dU07NZikdFAA5cK63yyHfy07uS4.jpg,1999-07-23,80000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1922: 'Catherine Zeta-Jones'},{2209: 'Jan de Bont'},113,"Dr. David Marrow invites Eleanor Vance, Luke Sanderson, and Theo to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself — and they soon see the true nature of its horror.",5.405,1111
{2133: 'The Perfect Storm'},https://image.tmdb.org/t/p/original/aOYHJclz1yZdFT3hdMY8TeYU4fk.jpg,2000-06-29,120000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{13240: 'Mark Wahlberg'},{5231: 'Wolfgang Petersen'},130,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",6.408,1815
{83533: 'Avatar 3'},https://image.tmdb.org/t/p/original/ocmG9jo7aorZtjmewSbfwQuJr95.jpg,2024-12-18,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{8691: 'Zoe Saldaña'},{2710: 'James Cameron'},0,,0.0,0
{9766: 'Gridiron Gang'},https://image.tmdb.org/t/p/original/icv6qe7nhiGV914nf1WEr8wHy7m.jpg,2006-09-15,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{336: 'Xzibit'},{18500: 'Phil Joanou'},125,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",6.997,792
{508: 'Love Actually'},https://image.tmdb.org/t/p/original/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,2003-09-07,40000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{3896: 'Liam Neeson'},{7018: 'Richard Curtis'},135,"'Love Actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before Christmas in London, England.",7.095,5571
{10220: 'Rounders'},https://image.tmdb.org/t/p/original/7JfFYnOLWi2X4TZXJ7qQ7xO1D2x.jpg,1998-09-11,12000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{819: 'Edward Norton'},{21053: 'John Dahl'},121,A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.,6.998,1402
{22954: 'Invictus'},https://image.tmdb.org/t/p/original/cNUoXM8dtg5mRt90GLrAHBP9IGE.jpg,2009-12-10,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1892: 'Matt Damon'},{190: 'Clint Eastwood'},134,"Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match.",7.189,3546
{48391: 'Jism'},https://image.tmdb.org/t/p/original/afSVOdens3jMc1QzLA3Ps3XGSbR.jpg,2003-01-17,501717,"[{'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",{52971: 'John Abraham'},{1070883: 'Amit Saxena'},136,"Kabir Lal is an alcoholic lawyer whose life is looking as if going down the drain. One morning he sees a stunningly attractive woman on a beach and is instantly enamored by her. By chance he sees her again in a restaurant and offers to buy her a drink. In the process he learns that her name is Sonia and she is married. Unable to resist, he asks her whether she would show him her home. It marks the beginning of a passionate affair, during which Kabir is told that Sonia's husband neglects her. But Sonia cannot leave him because she cannot support herself without her husband's money. Sonia suggests murder and Kabir, blind with lust, agrees. They manage to kill Sonia's husband and make it look like an accident, but then Kabir gets to see Sonia's other side: she no longer is the passionate lover as before, but is a cool-headed mean woman now who won't let go of her wealth at any cost.",4.4,16
{6069: 'The Witches of Eastwick'},https://image.tmdb.org/t/p/original/zJGsoVAQvnyI8gBPZvNpngLjVQ9.jpg,1987-06-12,22000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{38225: 'Cher'},{20629: 'George Miller'},118,Three single women in a picturesque village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives.,6.512,1123
{575094: 'Abigail'},https://image.tmdb.org/t/p/original/5Ggf38fEAhOCdgvfLOfUcfEQTQT.jpg,2019-08-22,7000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",{1122543: 'Tinatin Dalakishvili'},{1531822: 'Alexandr Boguslavsky'},110,"A young girl Abigail lives in a city whose borders were closed many years ago because of an epidemic of a mysterious disease. Abby's father was one of the sick - and he was taken when she was six years old. Going against the authorities to find his father, Abby learns that her city is actually full of magic. And she discovers in herself extraordinary magical abilities.",6.2,182
{246741: 'What We Do in the Shadows'},https://image.tmdb.org/t/p/original/ftrq6LsDNfLPQzrlonOaxSq4yMh.jpg,2014-06-19,1600000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{55936: 'Jemaine Clement'},{55936: 'Jemaine Clement'},86,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,7.575,2892
{9631: 'The Negotiator'},https://image.tmdb.org/t/p/original/moiaZupHkPNd4ryCRqaocjKPeId.jpg,1998-07-29,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1979: 'Kevin Spacey'},{37932: 'F. Gary Gray'},140,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",7.069,1648
{4824: 'The Jackal'},https://image.tmdb.org/t/p/original/wkLF73oenC1n1DDKKU7oyLKVcMa.jpg,1997-11-14,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1205: 'Richard Gere'},{30365: 'Michael Caton-Jones'},124,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",6.289,1519
{39256: 'Godzilla 1985'},https://image.tmdb.org/t/p/original/blKtf1L6LA3mFW8aVJzxnaI8CLn.jpg,1985-07-26,700000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",{72398: 'Ken Tanaka'},{1178751: 'Koji Hashimoto'},87,"Originally released in Japan as ""The Return of Godzilla""  in 1984, this is the heavily re-edited, re-titled ""Godzilla 1985"".  Adding in new footage of Raymond Burr, this 16th Godzilla film ignores all previous sequels and serves as a direct follow-up to the 1956 ""Godzilla King of the Monsters"", which also featured scenes with Burr edited into 1954's ""Godzilla"". This film restores the darker tone of the original, as we witness the nuclear destruction of giant lizard terrorizing Japan.",6.7,129
